"Data item name","Data item Description","Composite data item (1)","Composite data item - level (2)","Data Item Type","Data type","Cardinality","Default value","Values	Validation","Associated score","Allow multiple","Help text","Read only","Include item","Data item (SNOMED)","Is the data constraining?","SNOMED codes or subset ID","Is post-coordination allowed?","Care Record Element","Specific conditional behaviour","National data sets","Calculation","Annotation","Archetype Id","Section ID"
"Date of Onset","The date / time when the problem was first identified by the individual.","No","","Primary","DATE_TIME","[0..1]","","Allow all; yyyy-mm-ddthh:mm:ss","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.problem_diagnosis.v1/data[at0001]/items[at0003]","40"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.problem_diagnosis.v1/protocol[at0032]","40"
"Temporal context","Temporal context indicator aligned with SNOMEDCT.","No","","Primary","CODED_TEXT","[0..1]","","Past","","N","","N","","n/a","Yes","Past (local::at0061)","","","","","","","openEHR-EHR-CLUSTER.problem_status.v1/items[at0060]","41"
"description","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-ACTION.procedure.v1/description[at0001]/description[at0001]","42"
"Procedure","The name of the procedure.","No","","Primary","TEXT","[1..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-ACTION.procedure.v1/description[at0001]/description[at0001]/items[at0002]","42"
"Description","Narrative description about the procedure carried out.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-ACTION.procedure.v1/description[at0001]/description[at0001]/items[at0049]","42"
"Comments","Comments about the procedure.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-ACTION.procedure.v1/description[at0001]/description[at0001]/items[at0005]","42"
"Multimedia","Multimedia representation of the procedure, including images.","No","","Primary","MULTIMEDIA","[0..*]","","","","Y","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-ACTION.procedure.v1/description[at0001]/description[at0001]/items[at0013]","42"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-ACTION.procedure.v1/protocol[at0053]","42"
"data","","Yes: Structure","","List","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.alert.v1/data[at0001]","44"
"Alert","Identification of the alert.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.alert.v1/data[at0001]/items[at0015]","44"
"Category","The category of alert.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.alert.v1/data[at0001]/items[at0002]","44"
"Description","Narrative description of the alert.","No","","Primary","TEXT","[1..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.alert.v1/data[at0001]/items[at0003]","44"
"Status","An indication of whether the alert is considered to be an active, currently inactive, or resolved and not likely to impact on the patient again.","No","","Primary","CODED_TEXT","[0..1]","","Active; Inactive; Resolved","","N","","N","","n/a","Yes","Active (local::at0011)| Inactive (local::at0012)| Resolved (local::at0013)","","","","","","","openEHR-EHR-EVALUATION.alert.v1/data[at0001]/items[at0009]","44"
"Start Date","The date and optional time at which the alert became active.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.alert.v1/data[at0001]/items[at0004]","44"
"Review Date","The date and optional time when the alert Status requires review.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.alert.v1/data[at0001]/items[at0010]","44"
"End Date","The date and optional time at which the alert became inactive, if known.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.alert.v1/data[at0001]/items[at0014]","44"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.clinical_synopsis.v1/data[at0001]","46"
"Synopsis","The summary, assessment, conclusions or evaluation of the clinical findings.","No","","Primary","TEXT","[1..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.clinical_synopsis.v1/data[at0001]/items[at0002]","46"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.absence.v1/data[at0001]","48"
"Absence Statement","Positive statement that no information is available.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.absence.v1/data[at0001]/items[at0002]","48"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.absence.v1/protocol[at0003]","48"
"Date Verified","The date at which the information was deemed to be absent.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.absence.v1/protocol[at0003]/items[at0004]","48"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.exclusion-medication.v1/data[at0001]","49"
"Exclusion Statement","A statement about exclusion of use of medication in the health record.","No","","Primary","TEXT","[1..*]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.exclusion-medication.v1/data[at0001]/items[at0002.1]","49"
"Medication","Identification of the specific medication/s to which the Exclusion Statement applies.","No","","Primary","MULTIPLE","[0..*]","","| DV_CODED_TEXTtruetruefalsefalse11defining_codetruetruefalsefalse11CODE_PHRASEtruetruefalsefalse11ac0.1| Free or coded text","","Y","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.exclusion-medication.v1/data[at0001]/items[at0003.1]","49"
"Comment","Additional narrative about the Exclusion not captured in other fields.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.exclusion-medication.v1/data[at0001]/items[at0007]","49"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.exclusion-medication.v1/protocol[at0006]","49"
"Date Last Updated","The date at which the exclusion was last clinically asserted, affirmed or confirmed.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.exclusion-medication.v1/protocol[at0006]/items[at0004]","49"
"Medication order activity","Medication order details.","Yes: Activity","","Label","Text","[0..*]","","","","","","","","","","","","","","","","","openEHR-EHR-INSTRUCTION.medication_order_uk.v1/activities[at0001]","50"
"description","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-INSTRUCTION.medication_order_uk.v1/description[at0002]/description[at0002]","50"
"Medication name","Mandatory medication name coded using a SNOMEDCT/dm+d term where possible, allowing plain text for historical/patient reported items , extemporaneous preparations or those not registered in dm+d.","No","","Primary","MULTIPLE","[1..1]","","| Free or coded text| ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0001]","51"
"Form","Form of the medicinal substance e.g capsules, tablets, liquid. Not normally required unless a specific form has been requested by the prescriber.","No","","Primary","CODED_TEXT","[0..1]","","","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0022]","51"
"Route","Optional medication route, using SNOMED terms where possible. Not generally applicable to product-based medication. Should not be used to specify a specific administration site, for which a separate archetype is used e.g. The Route is 'intraocular' the Site may be 'Left eye'.","No","","Primary","CODED_TEXT","[0..*]","","","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0002]","51"
"Site","The anatomical site at which the medication is to be administered.","No","","Primary","CODED_TEXT","[0..1]","","","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0029]","51"
"Method","The technique or method by which the medication is to be administered.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0030]","51"
"Dose directions description","A single plain text phrase describing the entire medication dosage and administration directions, including dose quantity and medication frequency.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0003]","51"
"Dose strength description","A plain text description of medication single dose amount.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0020]","51"
"Dose timing description","A plain text description of medication dose frequency.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0021]","51"
"Dose instruction","Structured details of medication dosage directions.","Yes: Cluster","","Label","Text","[0..*]","","","","","","","","","","","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0019]","51"
"Dose strength/timing syntax","","No","","Primary","PARSABLE","[0..1]","","DV_PARSABLEtruetruefalsefalse11formalismtruetruefalsefalse11STRINGtruetruefalsefalse11text/plain","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0019]/items[at0033]","51"
"Additional instruction","Additional multiple dosage or administration instructions as plain text. This may include guidance to the prescriber, patient or person administering the medication.","No","","Primary","TEXT","[0..*]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0019]/items[at0005]","51"
"Maximum dose syntax","","No","","Primary","PARSABLE","[0..1]","","DV_PARSABLEtruetruefalsefalse11formalismtruetruefalsefalse11STRINGtruetruefalsefalse11text/plain","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0019]/items[at0036]","51"
"Instruction duration","","Yes: Cluster","","Label","Text","[0..1]","","","","","","","","","","","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0019]/items[at0038]","51"
"Start datetime","","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0019]/items[at0038]/items[at0039]","51"
"End datetime","","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0019]/items[at0038]/items[at0040]","51"
"Instruction duration","","No","","Primary","MULTIPLE","[0..1]","","| Free or coded text| years, months, weeks, days, hours","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0019]/items[at0038]/items[at0037]","51"
"Patient instruction","Multiple plain text instructions intended for patient or carer.","No","","Primary","TEXT","[0..*]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0027]","51"
"Dispensing instruction","Multiple plain text to record complex dispensing arrangements, particularly for Controlled Drug instalment dispensing.","No","","Primary","TEXT","[0..*]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0004]","51"
"Comment","An additional comment about the medication item as a whole e.g. 'Patient named supply', 'unlicensed medication', 'Foreign brand'.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0028]","51"
"Course directions","Directions relating to the whole course of medication.","Yes: Cluster","","Label","Text","[0..1]","","","","","","","","","","","","","","","","","openEHR-EHR-INSTRUCTION.medication_order_uk.v1/description[at0002]/description[at0002]/items[at0039]","51"
"Indication","The clinical indication or reason for ordering the medication.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-INSTRUCTION.medication_order_uk.v1/description[at0002]/description[at0002]/items[at0039]/items[at0069]","51"
"Overall duration","The overall duration for which this medication should be continued.","No","","Primary","MULTIPLE","[0..1]","","| Free or coded text| Continue indefinitely; Do not discontinue| ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-INSTRUCTION.medication_order_uk.v1/description[at0002]/description[at0002]/items[at0039]/items[at0041]","51"
"Overall recommendations","Any other directions about the medication e.g. monitoring requirements or alignment with other medication.","No","","Primary","TEXT","[0..*]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-INSTRUCTION.medication_order_uk.v1/description[at0002]/description[at0002]/items[at0039]/items[at0045]","51"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-INSTRUCTION.medication_order_uk.v1/protocol[at0036]","51"
"Medication course status","The status of this prescription in an ambulatory (outpatient/GP/community) context.","No","","Primary","CODED_TEXT","[0..1]","","Active; Discontinued; Never active; Completed; Obsolete","","N","","N","","n/a","Yes","Active (local::at0033)| Discontinued (local::at0019)| Never active (local::at0069)| Completed (local::at0080)| Obsolete (local::at0081)","","","","","","","openEHR-EHR-CLUSTER.medication_status.v1/items[at0030]","52"
"Medication event","Summary of a medication event. Often this will be simply one or more key dates but further event detail may be required in some circumstances.","Yes: Cluster","","Label","Text","[0..*]","","","","","","","","","","","","","","","","","openEHR-EHR-CLUSTER.medication_status.v1/items[at0070]","52"
"Event date","A date relating to a specific medication event during the course of a medication. Generally only exposed when the medication order archetype is being used in 'summary' mode.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_status.v1/items[at0070]/items[at0047]","52"
"Administration withheld","Details relevant to withholding administration of the medication.","Yes: Cluster","","Label","Text","[0..1]","","","","","","","","","","","","","","","","","openEHR-EHR-CLUSTER.medication_event.v1/items[at0127]","53"
"Reason withheld","The reason that administration of a medication was withheld.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_event.v1/items[at0127]/items[at0124]","53"
"Comment","Any additional comments regarding thos medication event.","No","","Primary","TEXT","[0..*]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_event.v1/items[at0136]","53"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.exclusion-medication.v1/data[at0001]","55"
"Exclusion Statement","A statement about exclusion of use of medication in the health record.","No","","Primary","TEXT","[1..*]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.exclusion-medication.v1/data[at0001]/items[at0002.1]","55"
"Medication","Identification of the specific medication/s to which the Exclusion Statement applies.","No","","Primary","MULTIPLE","[0..*]","","| DV_CODED_TEXTtruetruefalsefalse11defining_codetruetruefalsefalse11CODE_PHRASEtruetruefalsefalse11ac0.1| Free or coded text","","Y","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.exclusion-medication.v1/data[at0001]/items[at0003.1]","55"
"Comment","Additional narrative about the Exclusion not captured in other fields.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.exclusion-medication.v1/data[at0001]/items[at0007]","55"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.exclusion-medication.v1/protocol[at0006]","55"
"Date Last Updated","The date at which the exclusion was last clinically asserted, affirmed or confirmed.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.exclusion-medication.v1/protocol[at0006]/items[at0004]","55"
"data","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.absence.v1/data[at0001]","56"
"Absence Statement","Positive statement that no information is available.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-EVALUATION.absence.v1/data[at0001]/items[at0002]","56"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-EVALUATION.absence.v1/protocol[at0003]","56"
"Date Verified","The date at which the information was deemed to be absent.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-EVALUATION.absence.v1/protocol[at0003]/items[at0004]","56"
"Medication order activity","Medication order details.","Yes: Activity","","Label","Text","[0..*]","","","","","","","","","","","","","","","","","openEHR-EHR-INSTRUCTION.medication_order_uk.v1/activities[at0001]","57"
"description","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-INSTRUCTION.medication_order_uk.v1/description[at0002]/description[at0002]","57"
"Medication name","Mandatory medication name coded using a SNOMEDCT/dm+d term where possible, allowing plain text for historical/patient reported items , extemporaneous preparations or those not registered in dm+d.","No","","Primary","MULTIPLE","[1..1]","","| Free or coded text| ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0001]","58"
"Form","Form of the medicinal substance e.g capsules, tablets, liquid. Not normally required unless a specific form has been requested by the prescriber.","No","","Primary","CODED_TEXT","[0..1]","","","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0022]","58"
"Route","Optional medication route, using SNOMED terms where possible. Not generally applicable to product-based medication. Should not be used to specify a specific administration site, for which a separate archetype is used e.g. The Route is 'intraocular' the Site may be 'Left eye'.","No","","Primary","CODED_TEXT","[0..*]","","","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0002]","58"
"Site","The anatomical site at which the medication is to be administered.","No","","Primary","CODED_TEXT","[0..1]","","","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0029]","58"
"Method","The technique or method by which the medication is to be administered.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0030]","58"
"Dose directions description","A single plain text phrase describing the entire medication dosage and administration directions, including dose quantity and medication frequency.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0003]","58"
"Dose strength description","A plain text description of medication single dose amount.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0020]","58"
"Dose timing description","A plain text description of medication dose frequency.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0021]","58"
"Dose instruction","Structured details of medication dosage directions.","Yes: Cluster","","Label","Text","[0..*]","","","","","","","","","","","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0019]","58"
"Dose strength/timing syntax","","No","","Primary","PARSABLE","[0..1]","","DV_PARSABLEtruetruefalsefalse11formalismtruetruefalsefalse11STRINGtruetruefalsefalse11text/plain","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0019]/items[at0033]","58"
"Additional instruction","Additional multiple dosage or administration instructions as plain text. This may include guidance to the prescriber, patient or person administering the medication.","No","","Primary","TEXT","[0..*]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0019]/items[at0005]","58"
"Maximum dose syntax","","No","","Primary","PARSABLE","[0..1]","","DV_PARSABLEtruetruefalsefalse11formalismtruetruefalsefalse11STRINGtruetruefalsefalse11text/plain","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0019]/items[at0036]","58"
"Instruction duration","","Yes: Cluster","","Label","Text","[0..1]","","","","","","","","","","","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0019]/items[at0038]","58"
"Start datetime","","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0019]/items[at0038]/items[at0039]","58"
"End datetime","","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0019]/items[at0038]/items[at0040]","58"
"Instruction duration","","No","","Primary","MULTIPLE","[0..1]","","| Free or coded text| years, months, weeks, days, hours","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0019]/items[at0038]/items[at0037]","58"
"Patient instruction","Multiple plain text instructions intended for patient or carer.","No","","Primary","TEXT","[0..*]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0027]","58"
"Dispensing instruction","Multiple plain text to record complex dispensing arrangements, particularly for Controlled Drug instalment dispensing.","No","","Primary","TEXT","[0..*]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0004]","58"
"Comment","An additional comment about the medication item as a whole e.g. 'Patient named supply', 'unlicensed medication', 'Foreign brand'.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0028]","58"
"Course directions","Directions relating to the whole course of medication.","Yes: Cluster","","Label","Text","[0..1]","","","","","","","","","","","","","","","","","openEHR-EHR-INSTRUCTION.medication_order_uk.v1/description[at0002]/description[at0002]/items[at0039]","58"
"Indication","The clinical indication or reason for ordering the medication.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-INSTRUCTION.medication_order_uk.v1/description[at0002]/description[at0002]/items[at0039]/items[at0069]","58"
"Overall duration","The overall duration for which this medication should be continued.","No","","Primary","MULTIPLE","[0..1]","","| Free or coded text| Continue indefinitely; Do not discontinue| ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-INSTRUCTION.medication_order_uk.v1/description[at0002]/description[at0002]/items[at0039]/items[at0041]","58"
"Overall recommendations","Any other directions about the medication e.g. monitoring requirements or alignment with other medication.","No","","Primary","TEXT","[0..*]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-INSTRUCTION.medication_order_uk.v1/description[at0002]/description[at0002]/items[at0039]/items[at0045]","58"
"protocol","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-INSTRUCTION.medication_order_uk.v1/protocol[at0036]","58"
"Medication course status","The status of this prescription in an ambulatory (outpatient/GP/community) context.","No","","Primary","CODED_TEXT","[0..1]","","Active; Discontinued; Never active; Completed; Obsolete","","N","","N","","n/a","Yes","Active (local::at0033)| Discontinued (local::at0019)| Never active (local::at0069)| Completed (local::at0080)| Obsolete (local::at0081)","","","","","","","openEHR-EHR-CLUSTER.medication_status.v1/items[at0030]","59"
"Medication event","Summary of a medication event. Often this will be simply one or more key dates but further event detail may be required in some circumstances.","Yes: Cluster","","Label","Text","[0..*]","","","","","","","","","","","","","","","","","openEHR-EHR-CLUSTER.medication_status.v1/items[at0070]","59"
"Event date","A date relating to a specific medication event during the course of a medication. Generally only exposed when the medication order archetype is being used in 'summary' mode.","No","","Primary","DATE_TIME","[0..1]","","Allow all; ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_status.v1/items[at0070]/items[at0047]","59"
"Administration withheld","Details relevant to withholding administration of the medication.","Yes: Cluster","","Label","Text","[0..1]","","","","","","","","","","","","","","","","","openEHR-EHR-CLUSTER.medication_event.v1/items[at0127]","60"
"Reason withheld","The reason that administration of a medication was withheld.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_event.v1/items[at0127]/items[at0124]","60"
"Comment","Any additional comments regarding thos medication event.","No","","Primary","TEXT","[0..*]","","Free or coded text","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_event.v1/items[at0136]","60"
"Medication order activity","Medication order details.","Yes: Activity","","Label","Text","[0..*]","","","","","","","","","","","","","","","","","openEHR-EHR-INSTRUCTION.medication_order_uk.v1/activities[at0001]","62"
"description","","Yes: Structure","","Tree","n/a","[1..1]","","","","","","","","","","","","","","","","","openEHR-EHR-INSTRUCTION.medication_order_uk.v1/description[at0002]/description[at0002]","62"
"Medication name","Mandatory medication name coded using a SNOMEDCT/dm+d term where possible, allowing plain text for historical/patient reported items , extemporaneous preparations or those not registered in dm+d.","No","","Primary","MULTIPLE","[1..1]","","| Free or coded text| ","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0001]","63"
"Form","Form of the medicinal substance e.g capsules, tablets, liquid. Not normally required unless a specific form has been requested by the prescriber.","No","","Primary","CODED_TEXT","[0..1]","","","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0022]","63"
"Route","Optional medication route, using SNOMED terms where possible. Not generally applicable to product-based medication. Should not be used to specify a specific administration site, for which a separate archetype is used e.g. The Route is 'intraocular' the Site may be 'Left eye'.","No","","Primary","CODED_TEXT","[0..*]","","","","Y","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0002]","63"
"Site","The anatomical site at which the medication is to be administered.","No","","Primary","CODED_TEXT","[0..1]","","","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0029]","63"
"Method","The technique or method by which the medication is to be administered.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0030]","63"
"Dose directions description","A single plain text phrase describing the entire medication dosage and administration directions, including dose quantity and medication frequency.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0003]","63"
"Dose strength description","A plain text description of medication single dose amount.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0020]","63"
"Dose timing description","A plain text description of medication dose frequency.","No","","Primary","TEXT","[0..1]","","Free or coded text","","N","","N","","n/a","Yes","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0021]","63"
"Dose instruction","Structured details of medication dosage directions.","Yes: Cluster","","Label","Text","[0..*]","","","","","","","","","","","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0019]","63"
"Dose strength/timing syntax","","No","","Primary","PARSABLE","[0..1]","","DV_PARSABLEtruetruefalsefalse11formalismtruetruefalsefalse11STRINGtruetruefalsefalse11text/plain","","N","","N","","n/a","n/a","n/a","","","","","","","openEHR-EHR-CLUSTER.medication_item.v1/items[at0019]/items[at0033]","63"
